City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Cairns,NE,75.2,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
10,Kiunga,NE,73.36,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
15,Tautira,NE,77.0,light rain,-17.7333,-149.15,Pension Oaoa
19,Bengkulu,NE,76.66,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
20,Vanimo,NE,79.29,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
21,Vaini,NE,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
22,Padang,NE,78.1,overcast clouds,-0.9492,100.3543,Mercure Padang
23,Vao,NE,76.12,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
28,Najran,NE,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
29,Rikitea,NE,78.75,light rain,-23.1203,-134.9692,Pension Maro'i
32,Atuona,NE,78.28,light rain,-9.8,-139.0333,Villa Enata
35,Bredasdorp,NE,75.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
45,Bandarbeyla,NE,75.2,clear sky,9.4942,50.8122,JABIR HOTEL
49,Cape Town,NE,78.8,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
53,Hermanus,NE,75.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
55,Kapaa,NE,71.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
56,Voh,NE,72.61,broken clouds,-20.9667,164.7,Le gîte du Koniambo
60,Barabai,NE,75.42,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
61,Flinders,NE,73.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
63,Kununurra,NE,78.8,light rain,-15.7667,128.7333,Hotel Kununurra
65,Geraldton,NE,73.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
66,Avarua,NE,77.0,scattered clouds,-21.2078,-159.775,Paradise Inn
94,Labuhan,NE,78.03,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
97,Awbari,NE,74.3,clear sky,26.5921,12.7805,فندق أوباري
