City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Torbay,NE,47.6666,-52.7314,30.0,93,90,21.85,overcast clouds
1,Mataura,NE,-46.1927,168.8643,48.0,80,23,8.01,few clouds
2,Winslow,NE,35.0242,-110.6974,21.2,79,1,4.03,clear sky
3,Los Llanos De Aridane,NE,28.6585,-17.9182,68.0,68,40,13.8,scattered clouds
4,Culiacan,NE,24.7994,-107.3897,66.99,82,1,2.04,clear sky
5,Nome,NE,64.5011,-165.4064,-9.4,64,1,5.75,clear sky
6,Puerto Ayora,NE,-0.7393,-90.3518,82.4,69,0,11.5,clear sky
7,Jojoima,NE,7.8792,-10.7878,96.73,29,20,2.3,few clouds
8,Cairns,NE,-16.9167,145.7667,75.2,83,100,5.7,overcast clouds
9,Ushuaia,NE,-54.8,-68.3,51.8,62,40,23.02,scattered clouds
10,Kiunga,NE,-6.1219,141.2906,73.36,97,100,1.9,overcast clouds
11,Hilo,NE,19.7297,-155.09,66.2,94,90,8.05,light rain
12,Ponta Do Sol,NE,32.6667,-17.1,64.0,70,46,3.0,scattered clouds
13,Cabo San Lucas,NE,22.8909,-109.9124,68.0,82,1,3.44,clear sky
14,Farafangana,NE,-22.8167,47.8333,82.36,76,0,12.55,clear sky
15,Tautira,NE,-17.7333,-149.15,77.0,73,75,4.61,light rain
16,Saskylakh,NE,71.9167,114.0833,-39.28,77,4,7.7,clear sky
17,Dickinson,NE,29.4608,-95.0513,68.0,77,90,10.36,overcast clouds
18,Albany,NE,42.6001,-73.9662,12.0,66,40,19.57,scattered clouds
19,Bengkulu,NE,-3.8004,102.2655,76.66,88,100,6.06,light rain
20,Vanimo,NE,-2.6741,141.3028,79.29,83,100,8.03,moderate rain
21,Vaini,NE,-21.2,-175.2,73.4,94,90,6.91,light rain
22,Padang,NE,-0.9492,100.3543,78.1,73,99,5.64,overcast clouds
23,Vao,NE,-22.6667,167.4833,76.12,76,46,17.27,scattered clouds
24,Butaritari,NE,3.0707,172.7902,80.65,77,93,16.8,overcast clouds
25,Pinheiro Machado,NE,-31.5783,-53.3811,86.0,75,64,4.0,broken clouds
26,Bay-Khaak,NE,51.1667,94.5,10.76,86,79,7.99,broken clouds
27,Qaanaaq,NE,77.484,-69.3632,-8.18,67,99,1.14,overcast clouds
28,Najran,NE,17.4924,44.1277,77.0,22,0,4.61,clear sky
29,Rikitea,NE,-23.1203,-134.9692,78.75,74,81,10.11,light rain
30,Avera,NE,33.194,-82.5271,42.8,61,1,6.91,clear sky
31,Lebu,NE,-37.6167,-73.65,61.41,71,3,7.11,clear sky
32,Atuona,NE,-9.8,-139.0333,78.28,77,48,16.71,light rain
33,Tasiilaq,NE,65.6145,-37.6368,15.8,48,40,17.27,scattered clouds
34,Jamestown,NE,42.097,-79.2353,23.0,93,90,2.55,light snow
35,Bredasdorp,NE,-34.5322,20.0403,75.0,65,0,5.99,clear sky
36,Shenjiamen,NE,29.9576,122.298,50.4,78,48,15.05,scattered clouds
37,Surt,NE,31.2089,16.5887,69.87,42,0,6.58,clear sky
38,Longyearbyen,NE,78.2186,15.6401,-2.2,50,20,20.71,few clouds
39,Teya,NE,60.3778,92.6267,-39.39,76,13,1.81,few clouds
40,Hithadhoo,NE,-0.6,73.0833,82.56,75,99,13.87,overcast clouds
41,Carballo,NE,43.213,-8.691,53.01,80,91,11.99,overcast clouds
42,Bubaque,NE,11.2833,-15.8333,80.8,46,0,5.17,clear sky
43,Bukama,NE,-9.2,25.85,85.91,66,34,0.85,scattered clouds
44,Mahebourg,NE,-20.4081,57.7,82.4,74,75,10.36,broken clouds
45,Bandarbeyla,NE,9.4942,50.8122,75.2,68,0,14.7,clear sky
46,Cherskiy,NE,68.75,161.3,-36.06,83,2,1.97,clear sky
47,Bathsheba,NE,13.2167,-59.5167,82.4,65,40,18.41,scattered clouds
48,Cap Malheureux,NE,-19.9842,57.6142,82.0,76,0,7.0,clear sky
49,Cape Town,NE,-33.9258,18.4232,78.8,47,20,9.22,few clouds
50,Hazorasp,NE,41.3194,61.0742,44.6,53,90,4.61,haze
51,Conceicao Do Araguaia,NE,-8.2578,-49.2647,85.24,67,100,4.94,overcast clouds
52,Thompson,NE,55.7435,-97.8558,10.4,92,90,2.3,light snow
53,Hermanus,NE,-34.4187,19.2345,75.0,65,0,5.99,clear sky
54,Senanga,NE,-16.1167,23.2667,83.77,59,18,5.57,few clouds
55,Kapaa,NE,22.0752,-159.319,71.6,88,40,13.8,light rain
